proyecto,folioviv,foliohog,numren,numtrab,tipoact,cose_cria,prep_deriv,valproc,valrema,apoyo,apoyo_1,apoyo_2,apoyo_3,apoyo_4,procampo,mesproc,progan,mesprogan,t_emp,h_emp,m_emp,t_cpago,h_cpago,m_cpago,t_ispago,h_ispago,m_ispago,t_nispago,h_nispago,m_nispago,com_fis,reg_cont,reg_not,ventas,autocons,otrosnom,gasneg,ventas_tri,auto_tri,otros_tri,gasto_tri,ing_tri,ero_tri
1,032192,0,01,Trabajo principal,Actividades de pesca,Sí,No,0,0,No,,,,,0,,0,,0,,,,,,,,,,,,Ninguno,No,No,5000,0,0,11000,1260.25,0,0,2772.55,0,1512.3
1,033007,0,01,Trabajo principal,Actividades de pesca,Sí,No,0,0,No,,,,,0,,0,,0,,,,,,,,,,,,Ninguno,No,No,9970,40,0,15000,2512.94,10.08,0,3780.75,0,1257.73
1,034009,0,01,Trabajo secundario,Actividades de recolección,Sí,No,0,0,No,,,,,0,,0,,0,,,,,,,,,,,,Ninguno,No,No,2,0,0,0,.5,0,0,0,.5,0
1,034011,0,01,Trabajo principal,Actividades de cría y explotación de animales,Sí,No,45600,45600,No,,,,,0,,0,,0,,,,,,,,,,,,Ninguno,No,No,0,0,0,12550,0,0,0,3163.23,0,3163.23
1,034017,0,01,Trabajo secundario,Actividades agrícolas,Sí,,0,0,No,,,,,0,,,,1,0,1,0,,,1,0,1,0,,,Ninguno,No,No,400,16,0,4600,100.82,4.03,0,1159.43,0,1054.58
1,034017,0,02,Trabajo secundario,Actividades agrícolas,Sí,,800,0,No,,,,,0,,,,1,1,0,0,,,1,1,0,0,,,Ninguno,No,No,300,198,0,50,75.62000000000001,49.91,0,12.6,112.92,0
1,035001,0,01,Trabajo secundario,Actividades de cría y explotación de animales,Sí,Sí,84000,126000,No,,,,,0,,0,,0,,,,,,,,,,,,Ninguno,No,No,30000,2100,0,10600,7520.4,526.43,0,2657.21,5389.62,0
1,035018,0,01,Trabajo principal,Actividades de recolección,Sí,No,0,0,No,,,,,0,,0,,0,,,,,,,,,,,,Ninguno,No,No,540,480,360,3300,135.37,120.33,90.24,827.24,0,481.31
1,035039,0,01,Trabajo principal,Actividades de cría y explotación de animales,Sí,Sí,24000,15000,No,,,,,0,,0,,0,,,,,,,,,,,,Ninguno,No,No,210,4800,0,22200,52.64,1203.26,0,5565.1,0,4309.19
1,035168,0,01,Trabajo principal,Actividades agrícolas,Sí,,70000,0,No,,,,,0,,,,0,,,,,,,,,,,,Ninguno,No,No,165875,375,10000,26400,41581.55,94.01000000000001,2506.8,6617.95,37564.4,0
1,035171,0,01,Trabajo secundario,Actividades agrícolas,Sí,,15000,1500,No,,,,,0,,,,1,1,0,1,1,0,0,,,0,,,Ninguno,Sí,No,120000,208,25000,38000,30081.6,52.14,6267,9525.84,26874.9,0
1,035171,0,01,Trabajo secundario,Actividades de cría y explotación de animales,Sí,Sí,7000,50000,No,,,,,0,,0,,1,1,0,1,1,0,0,,,0,,,Ninguno,No,No,0,4400,0,12000,0,1102.99,0,3008.16,0,1905.17
1,035175,0,01,Trabajo secundario,Actividades agrícolas,Sí,,1000,100,No,,,,,0,,,,1,1,0,0,,,0,,,1,1,0,Ninguno,No,No,15000,500,0,1100,3760.2,125.34,0,275.75,3609.79,0
1,035175,0,01,Trabajo secundario,Actividades de cría y explotación de animales,Sí,No,2000,50000,No,,,,,0,,4500,Noviembre,1,1,0,0,,,0,,,1,1,0,Ninguno,No,No,120,0,0,3150,30.08,0,0,789.64,0,759.56
1,035177,0,01,Trabajo secundario,Actividades de cría y explotación de animales,Sí,Sí,12000,80000,No,,,,,0,,0,,0,,,,,,,,,,,,Ninguno,No,No,300,12300,0,24000,75.2,3083.36,0,6016.32,0,2857.75
1,035178,0,01,Trabajo principal,Actividades agrícolas,Sí,,20000,0,No,,,,,0,,,,1,1,0,1,1,0,0,,,0,,,Ninguno,No,No,45000,1500,20000,54400,11280.6,376.02,5013.6,13636.99,3033.23,0
1,036096,0,01,Trabajo principal,Actividades de cría y explotación de animales,Sí,Sí,40000,0,No,,,,,0,,0,,0,,,,,,,,,,,,Ninguno,No,No,340,125,7500,4460,85.23,31.34,1880.1,1118.03,878.63,0
1,036132,0,01,Trabajo principal,Actividades de cría y explotación de animales,Sí,No,44800,20000,No,,,,,0,,0,,0,,,,,,,,,,,,Ninguno,No,No,22400,0,0,0,5615.23,0,0,0,5615.23,0
1,036143,0,01,Trabajo secundario,Actividades de cría y explotación de animales,Sí,No,1500,7000,Sí,,560,,,0,,0,,0,,,,,,,,,,,,Ninguno,No,No,0,600,0,2400,0,150.41,0,601.63,0,451.22
1,036145,0,01,Trabajo principal,Actividades de cría y explotación de animales,Sí,No,16000,16000,No,,,,,0,,0,,0,,,,,,,,,,,,Ninguno,No,No,600,0,0,11775,150.41,0,0,2951.76,0,2801.35
1,036150,0,01,Trabajo principal,Actividades de cría y explotación de animales,Sí,Sí,5000,50000,Sí,,400,,,0,,0,,0,,,,,,,,,,,,Ninguno,No,No,1170,510,0,12040,293.3,127.85,0,3018.19,0,2597.04
1,036152,0,05,Trabajo principal,Actividades de pesca,Sí,No,0,0,No,,,,,0,,0,,0,,,,,,,,,,,,Ninguno,No,No,600,277,0,9000,150.41,69.44,0,2256.12,0,2036.27
1,036157,0,01,Trabajo principal,Actividades de cría y explotación de animales,Sí,No,10000,30000,No,,,,,0,,0,,0,,,,,,,,,,,,Ninguno,No,No,17,0,0,5100,4.26,0,0,1278.47,0,1274.21
1,036158,0,01,Trabajo principal,Actividades de cría y explotación de animales,Sí,No,60000,150000,Sí,,350,,,0,,0,,0,,,,,,,,,,,,Ninguno,No,No,800,150,0,15400,200.54,37.6,0,3860.47,0,3622.33
1,037002,0,01,Trabajo principal,Actividades de cría y explotación de animales,Sí,Sí,1480,0,No,,,,,0,,0,,0,,,,,,,,,,,,Ninguno,No,No,0,4260,0,0,0,1067.9,0,0,1067.9,0
1,037046,0,01,Trabajo principal,Actividades de caza y captura de animales,Sí,No,0,0,Sí,,11500,,,0,,0,,0,,,,,,,,,,,,,,Sí,2000,1500,0,15400,501.36,376.02,0,3860.47,0,2983.09
1,037057,0,01,Trabajo principal,Actividades de cría y explotación de animales,Sí,Sí,10200,1500000,No,,,,,0,,0,,5,5,0,5,5,0,0,,,0,,,Expide facturas,Sí,No,172400,23424,0,2606000,43217.23,5871.93,0,653272.08,0,604182.92
1,038020,0,01,Trabajo principal,Actividades de cría y explotación de animales,Sí,No,120901209,12090,No,,,,,0,,0,,0,,,,,,,,,,,,Ninguno,No,No,25040,1540,400,17000,6311.33,388.16,100.82,4284.85,2515.46,0
1,038111,0,01,Trabajo principal,Actividades de caza y captura de animales,Sí,No,0,0,Sí,,10000,,,0,,0,,1,1,0,1,1,0,0,,,0,,,Ninguno,Sí,No,19050,1600,0,8000,4801.55,403.28,0,2016.4,3188.43,0
1,038128,0,01,Trabajo principal,Actividades de cría y explotación de animales,Sí,No,50000,200000,Sí,20000,,,,0,,0,,0,,,,,,,,,,,,Ninguno,No,No,74800,5200,84000,141000,18853.34,1310.66,21172.2,35539.05,5797.15,0
1,039121,0,01,Trabajo principal,Actividades de cría y explotación de animales,Sí,No,0,0,No,,,,,0,,0,,0,,,,,,,,,,,,Ninguno,No,No,400,0,0,350,100.82,0,0,88.22,12.6,0
1,039124,0,01,Trabajo principal,Actividades agrícolas,Sí,,30000,0,No,,,,,2700,Febrero,,,10,10,0,10,10,0,0,,,0,,,Ninguno,No,No,0,0,0,52500,0,0,0,13232.63,0,13232.63
1,039133,0,02,Trabajo principal,Actividades agrícolas,Sí,,0,0,No,,,,,0,,,,3,1,2,0,,,3,1,2,0,,,Ninguno,No,No,3600,330,0,7400,907.38,83.18000000000001,0,1865.17,0,874.61
1,039135,0,01,Trabajo principal,Actividades agrícolas,Sí,,0,0,No,,,,,2300,Junio,,,0,,,,,,,,,,,,Ninguno,No,No,5000,0,0,66600,1260.25,0,0,16786.53,0,15526.28
1,041001,0,01,Trabajo principal,Actividades de cría y explotación de animales,Sí,Sí,350,350,No,,,,,0,,0,,0,,,,,,,,,,,,Ninguno,No,No,0,932,0,350,0,232.24,0,87.20999999999999,145.02,0
1,041003,0,02,Trabajo principal,Actividades de cría y explotación de animales,Sí,No,624,0,No,,,,,0,,0,,0,,,,,,,,,,,,Ninguno,No,No,0,1320,0,1320,0,328.92,0,328.92,0,0
