proyecto,folioviv,foliohog,numren,fecha_nac,selecc
1,0100681401,1,01,23080000,2
1,0100681401,1,03,17120000,1
1,0100681401,1,02,17070000,2
1,0100681402,1,01,03110000,1
1,0100681402,1,02,20050000,2
1,0100681402,1,03,23060000,2
1,0100681402,1,04,16010000,2
1,0100681403,1,02,03070000,2
1,0100681403,1,01,05030000,1
1,0100681404,1,01,11060000,2
1,0100681404,1,02,09020000,1
1,0100681405,1,01,29040000,1
1,0100681405,1,04,15080000,2
1,0100681405,1,02,08090000,2
1,0100684402,1,02,19070000,2
1,0100684402,1,04,10010000,1
1,0100684402,1,05,04050000,2
1,0100684402,1,01,26020000,2
1,0100684403,1,04,17100000,1
1,0100684403,1,03,06040000,2
1,0100684403,1,02,07010000,2
1,0100684403,1,01,28120000,2
1,0100684404,1,01,19040000,1
1,0100684404,1,02,09050000,2
1,0100684405,1,02,01010000,2
1,0100684405,1,03,01010000,2
1,0100684405,1,01,01010000,1
1,0100695101,1,02,16060000,2
1,0100695101,1,01,31100000,1
1,0100695102,1,02,30070000,2
1,0100695102,1,01,09120000,2
1,0100695102,1,06,04070000,2
1,0100695102,1,04,29070000,2
1,0100695102,1,03,27070000,2
1,0100695102,1,05,26080000,1
1,0100695104,1,01,21050000,2
1,0100695104,1,02,17090000,1
1,0100695105,1,04,01100000,1
1,0100695105,1,01,27020000,2
1,0100695105,1,02,21090000,2
1,0100695105,1,03,16050000,2
1,0100696101,1,01,24110000,2
1,0100696101,1,02,16090000,1
1,0100696102,1,02,19120000,1
1,0100696102,1,03,26050000,2
1,0100696102,1,01,02070000,2
1,0100696103,1,03,11080000,2
1,0100696103,1,02,22060000,2
1,0100696103,1,01,12050000,1
1,0100696105,1,03,05020000,1
1,0100696105,1,02,27020000,2
1,0100696105,1,01,16050000,2
1,0100705101,1,02,29090000,1
1,0100705101,1,01,07010000,2
1,0100705102,1,01,21030000,2
1,0100705102,1,02,27010000,1
1,0100705104,1,01,08110000,2
1,0100705104,1,02,17030000,2
1,0100705104,1,04,22100000,1
1,0100705104,1,03,15010000,2
1,0100705105,1,01,12010000,1
1,0100721801,1,02,06060000,2
1,0100721801,1,01,26010000,1
1,0100721801,1,03,12050000,2
1,0100721801,1,04,22060000,2
1,0100721802,1,01,29010000,1
1,0100721802,1,02,06080000,2
1,0100721802,1,03,24030000,2
1,0100721804,1,02,09070000,2
1,0100721804,1,01,23020000,1
1,0100721805,1,02,12030000,2
1,0100721805,1,04,09120000,1
1,0100721805,1,03,16120000,2
1,0100721805,1,01,09040000,2
1,0100771801,1,02,03070000,1
1,0100771801,1,01,01080000,2
1,0100771802,1,03,21030000,2
1,0100771802,1,01,15100000,2
1,0100771802,1,02,20110000,1
1,0100771803,1,02,25010000,2
1,0100771803,1,01,06010000,1
1,0100771804,1,01,10030000,1
1,0100771804,1,02,27080000,2
1,0100771805,1,01,01060000,2
1,0100771805,1,02,20020000,2
1,0100771805,1,04,02110000,2
1,0100771805,1,05,04110000,1
1,0100771805,1,06,07070000,2
1,0100771805,1,03,08030000,2
1,0100779601,1,01,02090000,2
1,0100779601,1,02,12020000,1
1,0100779602,1,01,30080000,1
1,0100779602,2,01,20050000,1
1,0100779602,3,01,06070000,1
1,0100779603,1,01,01010000,1
1,0100779603,1,02,25080000,2
1,0100779604,1,02,15010000,1
1,0100779604,1,01,13090000,2
1,0100779605,1,01,14070000,1
1,0100787601,1,03,08120000,2
1,0100787601,1,02,21010000,2
1,0100787601,1,01,23110000,1
1,0100787602,1,02,01010000,1
1,0100787602,1,01,01010000,2
1,0100787603,1,01,01010000,1
1,0100787603,1,03,01010000,2
1,0100787603,1,02,01010000,2
1,0100787605,1,02,27110000,1
1,0100787605,1,01,13070000,2
1,0100790601,1,01,14050000,1
1,0100790601,1,02,04070000,2
1,0100790602,1,01,08030000,2
1,0100790602,1,02,26020000,1
1,0100790603,1,02,14120000,1
1,0100790603,1,01,23040000,2
1,0100790604,1,01,21040000,2
1,0100790604,1,02,24020000,1
1,0100790605,1,01,05120000,1
1,0100790605,1,02,21050000,2
1,0100795901,1,01,20090000,2
1,0100795901,1,02,22120000,1
1,0100795904,1,02,27050000,2
1,0100795904,1,01,13050000,1
1,0100799903,1,02,06120000,1
1,0100799903,1,01,15120000,2
1,0100799904,1,02,01120000,1
1,0100799904,1,01,18120000,2
1,0100799904,1,03,04010000,2
1,0100799905,1,01,30050000,2
1,0100799905,1,02,31010000,1
1,0100799905,1,03,19100000,2
1,0100803901,1,01,10100000,1
1,0100803902,1,03,15030000,2
1,0100803902,1,01,28010000,1
1,0100803902,1,02,27100000,2
1,0100803903,1,03,22030000,1
1,0100803903,1,01,12040000,2
1,0100803903,1,02,12100000,2
1,0100803904,1,01,03040000,1
1,0100803905,1,01,21120000,1
